title,author,genre,image
Komplet - Za neustrašive devojčice,"Grupa autora,Emili Hokins,Tom Adams,Suzi Lin,Ben Habard",Za poklon,https://laguna.rs/_img/korice/5879/komplet_-_za_neustrasive_devojcice-grupa_autora-_emili_hokins-_tom_adams-_suzi_lin-_ben_habard_s.jpg
Komplet - Za nove pustolovine,"Grupa autora,Džafet Ašer,Dženi Džejkobi,Suzi Lin",Za poklon,https://laguna.rs/_img/korice/5878/komplet_-_za_nove_pustolovine_s.jpg
Merino Tigar,Slavimir Stojanović Futro,Umetnost,https://laguna.rs/_img/korice/6828/merino_tigar-slavimir_stojanovic_s.png
Sentimentalno vaspitanje,Momo Kapor,Umetnost,https://laguna.rs/_img/korice/6628/sentimentalno_vaspitanje-momo_kapor_s.png
Monine oči,Toma Šleser,Umetnost,https://laguna.rs/_img/korice/6495/monine_oci-toma_sleser_s.png
Boginje Holivuda,Kristina Morato,Umetnost,https://laguna.rs/_img/korice/6236/boginje_holivuda-kristina_morato_s.png
Velika knjiga o bojama,Klausbernd Folmar,Umetnost,https://laguna.rs/_img/korice/1547/velika_knjiga_o_bojama-klausbernd_folmar_s.jpg
Bioskopska promišljanja,Kventin Tarantino,Umetnost,https://laguna.rs/_img/korice/6001/bioskopska_promisljanja-kventin_tarantino_s.png
Jansonova istorija umetnosti: Zapadna tradicija,"H. V. Janson,Entoni F. Janson",Umetnost,https://laguna.rs/_img/korice/6117/jansonova_istorija_umetnosti_zapadna_tradicija_s.jpg
Muze,Rut Milington,Umetnost,https://laguna.rs/_img/korice/5882/muze-rut_milington_s.jpg
Blagodatna / Full of Grace,Grupa autora,Umetnost,https://laguna.rs/_img/korice/5725/blagodatna_full_of_grace-grupa_autora_s.jpg
Ornamenti Srbije – pirotski ćilim / Ornaments of Serbia – the Pirot kilim,Milica Živadinović,Umetnost,https://laguna.rs/_img/korice/5673/ornamenti_srbije_pirotski_cilim_ornaments_of_serbia_the_pirot_kilim-milica_zivadinovic_s.jpg
Portreti junaka i junakinja Dostojevskog,Vladika Maksim,Umetnost,https://laguna.rs/_img/korice/5568/portreti_junaka_i_junakinja_dostojevskog-vladika_maksim_s.jpg
Beograd naše mladosti / Belgrade of our youth,Jovan Đorđević,Umetnost,https://laguna.rs/_img/korice/4679/beograd_nase_mladosti_belgrade_of_our_youth-jovan_djordjevic_s.jpg
Nikita Milivojević: Ja ovde silazim,Olivera Milošević,Umetnost,https://laguna.rs/_img/korice/5451/nikita_milivojevic_ja_ovde_silazim-olivera_milosevic_s.jpg
50 ideja koje bi stvarno trebalo da znate: Književnost,Džon Saderlend,Umetnost,https://laguna.rs/_img/korice/5218/50_ideja_koje_bi_stvarno_trebalo_da_znate_knjizevnost_s.jpg
50 velikih ideja koje bi stvarno trebalo da znate,Ben Dupre,Umetnost,https://laguna.rs/_img/korice/4971/50_velikih_ideja_koje_bi_stvarno_trebalo_da_znate-ben_dupre_s.jpg
50 ideja koje bi stvarno trebalo da znate: Umetnost,Suzi Hodž,Umetnost,https://laguna.rs/_img/korice/4940/50_ideja_koje_bi_stvarno_trebalo_da_znate_umetnost-suzi_hodz_s.jpg
Leonardo da Vinči,Volter Ajzakson,Umetnost,https://laguna.rs/_img/korice/3773/leonardo_da_vinci-volter_ajzakson_s.jpg
Hronologija umetnosti,Ijan Začek,Umetnost,https://laguna.rs/_img/korice/4186/hronologija_umetnosti-ijan_zacek_s.jpg
Velika čarolija,Elizabet Gilbert,Umetnost,https://laguna.rs/_img/korice/4018/velika_carolija-elizabet_gilbert_s.jpg
Neki drugi film,Petar Jončić,Umetnost,https://laguna.rs/_img/korice/2562/neki_drugi_film-petar_joncic_s.jpg
Ostali,K. B. Everet,Trileri,https://laguna.rs/_img/korice/6938/ostali-k_b_everet_s.jpg
Trenutak za ljubav,Kristina Moninger,Trileri,https://laguna.rs/_img/korice/6974/trenutak_za_ljubav-kristina_moninger_s.jpg
Ako mi se nešto desi,Aleks Finli,Trileri,https://laguna.rs/_img/korice/6849/ako_mi_se_nesto_desi-aleks_finli_s.jpg
Bog šume,Liz Mur,Trileri,https://laguna.rs/_img/korice/6923/bog_sume-liz_mur_s.jpg
Otac,Bojan Ljubenović,Trileri,https://laguna.rs/_img/korice/6960/otac-bojan_ljubenovic_s.png
Hildir,Satu Reme,Trileri,https://laguna.rs/_img/korice/6931/hildir-satu_reme_s.png
Usta puna mora,Jurica Pavičić,Trileri,https://laguna.rs/_img/korice/6962/usta_puna_mora-jurica_pavicic_s.png
Tko je taj čovjek?: Izvještaj o jednoj mogućnosti,Boris Dežulović,Trileri,https://laguna.rs/_img/korice/6933/tko_je_taj_covjek_s.jpg
"Jedi, ubij, voli",Džuli Mej Koen,Trileri,https://laguna.rs/_img/korice/6850/jedi_ubij_voli-dzuli_mej_koen_s.jpg
Nezaboravna Loreta Darling,Ketrin Blejk,Trileri,https://laguna.rs/_img/korice/6920/nezaboravna_loreta_darling-ketrin_blejk_s.png
Vrisak,"Jern Lir Horst,Jan-Erik Fjel",Trileri,https://laguna.rs/_img/korice/6896/vrisak-jern_lir_horst-_jan-erik_fjel_s.png
Čuješ li laž?,Ejmi Tintera,Trileri,https://laguna.rs/_img/korice/6889/cujes_li_laz-ejmi_tintera_s.jpg
Okrugla kuća,Luiz Erdrik,Trileri,https://laguna.rs/_img/korice/6876/okrugla_kuca-luiz_erdrik_s.png
Crna noć nada mnom i zvezdano nebo u meni,Ivan Tokin,Trileri,https://laguna.rs/_img/korice/6875/crna_noc_nada_mnom_i_zvezdano_nebo_u_meni-ivan_tokin_s.jpg
Ema,Žan Reno,Trileri,https://laguna.rs/_img/korice/6781/ema-zan_reno_s.png
Ubilački potencijal,Hana Dič,Trileri,https://laguna.rs/_img/korice/6861/ubilacki_potencijal-hana_dic_s.png
Milena & druge društvene reforme,Olja Knežević,Trileri,https://laguna.rs/_img/korice/6860/milena_druge_drustvene_reforme_s.jpg
Mesta prelaska,Eli Grifits,Trileri,https://laguna.rs/_img/korice/6851/mesta_prelaska-eli_grifits_s.png
Ukus straha,Zoran Petrović,Trileri,https://laguna.rs/_img/korice/6835/ukus_straha-zoran_petrovic_s.png
Turski zavet 1: Putinova klopka,Dejan Lučić,Trileri,https://laguna.rs/_img/korice/6836/turski_zavet_1_putinova_klopka-dejan_lucic_s.png
Hemija sa stilom,"Jasminka Korolija,Ljuba Mandić,Nevena Stefanović",Tinejdž,https://laguna.rs/_img/korice/6997/hemija_sa_stilom-jasminka_korolija-_ljuba_mandic_s.png
Hajduk u Beogradu,Gradimir Stojković,Tinejdž,https://laguna.rs/_img/korice/6929/hajduk_u_beogradu_s.jpg
Sviftovi: Rečnik nevaljalaca,"Bet Linkoln,Kler Pauel",Tinejdž,https://laguna.rs/_img/korice/6863/sviftovi_recnik_nevaljalaca_s.jpg
Mačak koji je spasao biblioteku,Sosuke Nacukava,Tinejdž,https://laguna.rs/_img/korice/6727/macak_koji_je_spasao_biblioteku-sosuke_nacukava_s.png
Artemis Faul,Oin Kolfer,Tinejdž,https://laguna.rs/_img/korice/51/artemis_faul-oin_kolfer_s.png
Artemis Faul: Operacija Arktik,Oin Kolfer,Tinejdž,https://laguna.rs/_img/korice/125/artemis_faul_operacija_arktik-oin_kolfer_s.png
Mocart i Linli: Firentinsko prijateljstvo,Zoran Milekić,Tinejdž,https://laguna.rs/_img/korice/6710/mocart_i_linli_s.png
"Bože, da l' si tu? Ja sam, Margaret",Džudi Blum,Tinejdž,https://laguna.rs/_img/korice/161/boze_da_l_si_tu_ja_sam_margaret-dzudi_blum_s.png
Zauvek,Džudi Blum,Tinejdž,https://laguna.rs/_img/korice/166/zauvek-dzudi_blum_s.png
Nije mi ovo trebalo,Ljiljana Šarac,Tinejdž,https://laguna.rs/_img/korice/6593/nije_mi_ovo_trebalo_s.png
Moj tata i ja u pubertetu,Robert Takarič,Tinejdž,https://laguna.rs/_img/korice/6531/moj_tata_i_ja_u_pubertetu-robert_takaric_s.png
Ko zna šta će od mene biti,Ivana Lukić,Tinejdž,https://laguna.rs/_img/korice/6296/ko_zna_sta_ce_do_mene_biti_s.jpg
"Laku noć, Punpune 13",Inio Asano,Tinejdž,https://laguna.rs/_img/korice/6171/laku_noc_punpune_13-inio_asano_s.png
"Laku noć, Punpune 12",Inio Asano,Tinejdž,https://laguna.rs/_img/korice/6146/laku_noc_punpune_12_s.jpg
"Laku noć, Punpune 11",Inio Asano,Tinejdž,https://laguna.rs/_img/korice/6136/laku_noc_punpune_11-inio_asano_s.png
Sidro na dnu noći,Milan Dabović,Tinejdž,https://laguna.rs/_img/korice/6093/sidro_na_dnu_noci-milan_dabovic_s.png
Ko je pomenuo ljubav?,Elaf Ali,Tinejdž,https://laguna.rs/_img/korice/5997/ko_je_pomenuo_ljubav-elaf_ali_s.png
"Laku noć, Punpune 10",Inio Asano,Tinejdž,https://laguna.rs/_img/korice/6067/laku_noc_punpune_10-inio_asano_s.png
"Laku noć, Punpune 9",Inio Asano,Tinejdž,https://laguna.rs/_img/korice/6024/laku_noc_punpune_9-inio_asano_s.jpg
Hačiko čeka,Lezlija Njuman,Tinejdž,https://laguna.rs/_img/korice/5936/haciko_ceka-lezlija_njuman_s.jpg
Turski zavet 1: Putinova klopka,Dejan Lučić,Teorije zavere,https://laguna.rs/_img/korice/6836/turski_zavet_1_putinova_klopka-dejan_lucic_s.png
Pavelićev testament – knjiga druga,Dejan Lučić,Teorije zavere,https://laguna.rs/_img/korice/6492/pavelicev_testament_knjiga_druga-dejan_lucic_s.png
Profesori smrti 3: Francuski lavirint,Dejan Lučić,Teorije zavere,https://laguna.rs/_img/korice/4980/profesori_smrti_3_francuski_lavirint-dejan_lucic_s.jpg
Profesori smrti 2: Ruski protokoli,Dejan Lučić,Teorije zavere,https://laguna.rs/_img/korice/4837/profesori_smrti_2-dejan_lucic_s.jpg
Profesori smrti 1: Nosači kovčega,Dejan Lučić,Teorije zavere,https://laguna.rs/_img/korice/3367/profesori_smrti-dejan_lucic_s.jpg
Crna knjiga korporacija,"Klaus Verner-Lobo,Hans Vajs",Teorije zavere,https://laguna.rs/_img/korice/2984/crna_knjiga_korporacija-hans_vajs-_klaus_verner-lobo_s.jpg
Tajna društva u Srbiji – od srednjeg veka do novog milenijuma,"Isidora Bjelica,Nebojša Pajkić",Teorije zavere,https://laguna.rs/_img/korice/3078/tajna_drustva_u_srbiji_od_srednjeg_veka_do_novog_milenijuma-isidora_bjelica-_nebojsa_pajkic_s.jpg
Znak zveri,Trevor Rejvenskroft,Teorije zavere,https://laguna.rs/_img/korice/2971/znak_zveri-trevor_rejvenskroft_s.jpg
Teorija zavere IV: Nemilosrdni špijuni,Dejan Lučić,Teorije zavere,https://laguna.rs/_img/korice/2981/teorija_zavere_iv_nemilosrdni_spijuni-dejan_lucic_s.jpg
Teorija zavere III: Škola za ubice,Dejan Lučić,Teorije zavere,https://laguna.rs/_img/korice/2699/teorija_zavere_iii_-_skola_za_ubice-dejan_lucic_s.jpg
Rođeni u krvi – izgubljene tajne masonerije,Džon Dž. Robinson,Teorije zavere,https://laguna.rs/_img/korice/2507/rodjeni_u_krvi_-_izgubljene_tajne_masonerije-dzon_dz_robinson_s.jpg
Ljubav sa Pink Panterom - Tajne lopovskog zanata - I tom,Dejan Lučić,Teorije zavere,https://laguna.rs/_img/korice/2450/ljubav_sa_pink_panterom_-_tajne_lopovskog_zanata_1-dejan_lucic_s.jpg
Teorija zavere II: Titova kletva,Dejan Lučić,Teorije zavere,https://laguna.rs/_img/korice/2335/teorija_zavere_ii_titova_kletva-dejan_lucic_s.jpg
Koplje sudbine,Trevor Rejvenskroft,Teorije zavere,https://laguna.rs/_img/korice/2235/koplje_sudbine-trevor_rejvenskroft_s.jpg
Teorija zavere I: Priručnik za osvajanje vlasti,Dejan Lučić,Teorije zavere,https://laguna.rs/_img/korice/2082/teorija_zavere-dejan_lucic_s.jpg
Princ i fantom,Milan Vidojević,Teorije zavere,https://laguna.rs/_img/korice/2062/princ_i_fantom_s.jpg
Islamska republika Nemačka 3: Mosadova meta,Dejan Lučić,Teorije zavere,https://laguna.rs/_img/korice/1879/islamska_republika_nemacka_3_mosadova_meta-dejan_lucic_s.jpg
Islamska republika Nemačka 2: Britanski pečat,Dejan Lučić,Teorije zavere,https://laguna.rs/_img/korice/1878/islamska_republika_nemacka_2_britanski_pecat-dejan_lucic_s.jpg
Islamska republika Nemačka 1: Strahovi moćnika,Dejan Lučić,Teorije zavere,https://laguna.rs/_img/korice/1877/islamska_republika_nemacka_1_-_strahovi_mocnika-dejan_lucic_s.jpg
Vladari iz senke - Tom II,Dejan Lučić,Teorije zavere,https://laguna.rs/_img/korice/1788/vladari_iz_senke_-_tom_ii-dejan_lucic_s.jpg
Zašto tako ozbiljno?,Majk Singer,Sport,https://laguna.rs/_img/korice/6633/zasto_tako_ozbiljno-majk_singer_s.png
Bez bola,Pit Igoskju,Sport,https://laguna.rs/_img/korice/6169/bez_bola_s.jpg
Crvena zvezda – Moj fudbalski klub,Bojan Ljubenović,Sport,https://laguna.rs/_img/korice/4708/crvena_zvezda_moj_fudbalski_klub-bojan_ljubenovic_s.jpg
Partizan – Moj fudbalski klub,Bojan Ljubenović,Sport,https://laguna.rs/_img/korice/4709/partizan_moj_fudbalski_klub-bojan_ljubenovic_s.jpg
Koš po koš,Vladimir Stanković,Sport,https://laguna.rs/_img/korice/2903/kos_po_kos-vladimir_stankovic_s.jpg
Samo mi Bog može suditi,Mateja Kežman,Sport,https://laguna.rs/_img/korice/2633/samo_mi_bog_moze_suditi-mateja_kezman_s.jpg
Misli o fudbalu,"Vladimir Stanković,Aleksandar Blatnik",Sport,https://laguna.rs/_img/korice/2438/misli_o_fudbalu-aleksandar_blatnik-_vladimir_stankovic_s.jpg
Sve ili ništa,Lotar Mateus,Sport,https://laguna.rs/_img/korice/2338/sve_ili_nista_s.jpg
"Montevideo, Bog te video!",Vladimir Stanković,Sport,https://laguna.rs/_img/korice/2323/montevideo_bog_te_video-vladimir_stankovic_s.jpg
Serviraj za pobedu,Novak Đoković,Sport,https://laguna.rs/_img/korice/2245/serviraj_za_pobedu_s.jpg
Džez basket,Aleksandar Miletić,Sport,https://laguna.rs/_img/korice/2220/dzez_basket_s.jpg
Uspon i pad moje Zvezde,Miloš V. Rajković,Sport,https://laguna.rs/_img/korice/2115/uspon_i_pad_moje_zvezde-milos_v_rajovic_s.jpg
Fudbalska matrica,Kristof Birman,Sport,https://laguna.rs/_img/korice/1736/fudbalska_matrica-kristof_birman_s.jpg
Pametno telo zauvek,Lokica,Sport,https://laguna.rs/_img/korice/1682/pametno_telo_zauvek-lokica_s.jpg
Moćne kopačke,Džejson Met Krosik,Sport,https://laguna.rs/_img/korice/1360/mocne_kopacke-dzejson_met_krosik_s.jpg
Spas u zadnji čas,Džejson Tomi Donbavand,Sport,https://laguna.rs/_img/korice/1359/spas_u_zadnji_cas-dzejson_tomi_donbavand_s.jpg
Le fudbal,Džejson Loborik,Sport,https://laguna.rs/_img/korice/1358/le_fudbal-dzejson_loborik_s.jpg
Blizanačke muke,Bari Hačinson,Sport,https://laguna.rs/_img/korice/1357/blizanacke_muke-bari_hacinson_s.jpg
Pametno telo,Lokica,Sport,https://laguna.rs/_img/korice/1292/pametno_telo-lokica_s.jpg
Dostojevski - Komplet od 14 knjiga (tvrdi povez),Fjodor Mihailovič Dostojevski,Specijalna ponuda,https://laguna.rs/_img/korice/3628/dostojevski_komplet_od_14_knjiga_koza-fjodor_mihailovic_dostojevski_s.jpg
Komplet - Čuvari prirode,"Grupa autora,Stefani Ledu,Stefan Fratini,Lisa Stjuart-Šarp",Specijalna ponuda,https://laguna.rs/_img/korice/5862/komplet_-_cuvari_prirode-grupa_autora-_stefani_ledu-_stefan_fratini-_lisa_stjuart_sarp_s.jpg
Komplet - Za sveznalice,"Klajv Giford,Viržini Alađidi,Karolin Pelisje,Magda Gargulakova,Katja Gajgalova",Specijalna ponuda,https://laguna.rs/_img/korice/5861/komplet_-_za_sveznalice-klajv_giford-_virzini_aladjidi-_karolin_pelisje-_magda_gargulakova-_katja_gajgalova_s.jpg
Slikovnica – Komplet - Moj mali svet,"Grupa autora,Olga Utkina,Hulijana Perdomo",Specijalna ponuda,https://laguna.rs/_img/korice/5877/komplet_-_moj_mali_svet_s.jpg
Komplet - Za nove pustolovine,"Grupa autora,Džafet Ašer,Dženi Džejkobi,Suzi Lin",Specijalna ponuda,https://laguna.rs/_img/korice/5878/komplet_-_za_nove_pustolovine_s.jpg
Komplet - Igrom do znanja,"Džoni Lejton,Izi Hauel,Aleks Vulf",Specijalna ponuda,https://laguna.rs/_img/korice/5868/komplet_-_igrom_do_znanja-dzoni_lejton-_izi_hauel-_aleks_vulf_s.jpg
Komplet -  Smehoteka,"Majk Barfild,Džim Smit,Endru Makdonald",Specijalna ponuda,https://laguna.rs/_img/korice/5863/komplet_-_smehoteka-endru_makdonald_s.jpg
Slikovnica – Komplet - U maminom zagrljaju,"Grupa autora,Helmi Verbakel",Specijalna ponuda,https://laguna.rs/_img/korice/5867/komplet_-_u_maminom_zagrljaju_s.jpg
Slikovnica – Komplet - U tatinom zagrljaju,"Grupa autora,Izi Daun,Bendži Dejvis",Specijalna ponuda,https://laguna.rs/_img/korice/5869/komplet_-_u_tatinom_zagrljaju_s.jpg
Komplet - Svet oko nas,Grupa autora,Specijalna ponuda,https://laguna.rs/_img/korice/5865/komplet_-_svet_oko_nas-grupa_autora_s.jpg
Komplet - Čarobni svet bajki,"Oskar Vajld,Rastislav Durman,Don Kejsi",Specijalna ponuda,https://laguna.rs/_img/korice/5864/komplet_-_carobni_svet_bajki-rastislav_durman_s.jpg
